descripcion,valor_usd,valor_pen,categoria,subcategoria,idioma,es_sintetico
Compra en Avon: jabón,14.99,55.44,Cuidado personal,Higiene,es,True
Pago de servicio no identificado en pago diverso,309.63,1145.65,Otros,Otros,es,True
empresa eléctrica - recibo de electricidad,24.93,92.22,Servicios,Electricidad,es,True
suscripción a revista / Netflix,41.19,152.37,Entretenimiento,Revistas,es,True
Compra en florería local: juegos infantiles,176.78,654.07,Regalos,Juguetes,es,True
Soriana - comida rápida,92.55,342.43,Alimentación,Comida rápida,es,True
Compra en hotel local: boleto aéreo,140.77,520.86,Viajes,Vuelo,es,True
cena con amigos / cine local,174.53,645.76,Entretenimiento,Eventos,es,True
Pago de consulta médica en gimnasio local,417.99,1546.57,Salud y bienestar,Consulta médica,es,True
Compra en empresa eléctrica: recibo de electricidad,136.09,503.53,Servicios,Electricidad,es,True
Avon - pasta dental,50.69,187.52,Cuidado personal,Higiene,es,True
Compra en florería local: joyería,585.48,2166.31,Regalos,Joyería,es,True
Bread,6.82,25.23,Alimentación,Supermercado,en,False
ropa / tienda departamental,176.62,653.48,Compras,Ropa,es,True
pago varios / servicio general,39.5,146.16,Otros,Otros,es,True
centro médico - consulta dental,181.45,671.37,Salud y bienestar,Odontología,es,True
Compra en Mercado Libre: calzado,238.15,881.18,Compras,Calzado,es,True
reparación vehicular / Cabify,40.58,150.14,Transporte,Mantenimiento vehicular,es,True
Carrefour - café,30.13,111.46,Alimentación,Cafetería,pt,True
proveedor de internet - recibo de agua - billetera móvil,133.45,493.77,Servicios,Agua,es,True
institución educativa - libros - Mercado Pago,158.12,585.02,Educación,Libros,es,True
gimnasio local - clase de yoga,62.19,230.08,Salud y bienestar,Entrenamiento,es,True
Compra en administración residencial: mantenimiento del hogar - Yape,89.61,331.56,Vivienda,Mantenimiento del hogar,es,True
Pago de recibo de agua en empresa de servicios,77.65,287.31,Servicios,Agua,es,True
Compra en Uber: taxi o aplicativo,90.28,334.03,Transporte,Taxi y aplicativo,es,True
pago diverso - servicio no identificado,174.07,644.03,Otros,Otros,es,True
comercio local - calzado,286.28,1059.22,Compras,Calzado,es,True
Uber - táxi ou aplicativo,65.68,242.99,Transporte,Taxi y aplicativo,pt,True
Pago de calzado en tienda departamental,73.35,271.38,Compras,Calzado,es,True
Pago de recibo de electricidad en empresa eléctrica,137.9,510.24,Servicios,Electricidad,es,True
Compra en farmacia local: consulta médica,222.56,823.48,Salud y bienestar,Consulta médica,es,True
Soriana - verduras,89.73,331.99,Alimentación,Supermercado,es,True
public transit / Uber,5.1,18.85,Transporte,Transporte público,en,True
café / Jumbo,102.39,378.83,Alimentación,Cafetería,es,True
Compra en Rappi: comida rápida,112.05,414.56,Alimentación,Comida rápida,es,True
Pagamento de consulta odontológica em centro médico,214.98,795.45,Salud y bienestar,Odontología,pt,True
Pago de calzado en tienda departamental,311.48,1152.48,Compras,Calzado,es,True
compra diversa / servicio general,45.46,168.2,Otros,Otros,es,True
assinatura de revista / cine local - billetera digital,47.43,175.46,Entretenimiento,Revistas,pt,True
Books,90.98,336.63,Educación,Libros,en,False
comercio local - calzado,442.2,1636.16,Compras,Calzado,es,True
snacks / Éxito,36.98,136.79,Alimentación,Supermercado,es,True
Compra en Netflix: suscripción a revista - SPEI,68.13,252.07,Entretenimiento,Revistas,es,True
Pago de ropa en comercio local,377.32,1396.12,Compras,Ropa,es,True
Pago de equipo para ejercicio en gimnasio local,482.76,1786.22,Salud y bienestar,Equipamiento deportivo,es,True
pan / Jumbo,25.4,93.94,Alimentación,Supermercado,es,True
Pagamento de roupas em comercio local,89.45,330.95,Compras,Ropa,pt,True
Pago de reparación vehicular en Uber,373.48,1381.9,Transporte,Mantenimiento vehicular,es,True
Pagamento de assinatura de revista em cine local,23.33,86.3,Entretenimiento,Revistas,pt,True
Compra en farmacia local: entrenador personal,97.39,360.32,Salud y bienestar,Entrenamiento,es,True
Compra em gimnasio local: consulta odontológica,214.84,794.92,Salud y bienestar,Odontología,pt,True
tienda departamental - productos electrónicos,389.88,1442.61,Compras,Electrónica,es,True
reparación vehicular / estación de servicio,770.59,2851.25,Transporte,Mantenimiento vehicular,es,True
tienda de cuidado personal - cuidado de la piel,249.12,921.75,Cuidado personal,Cuidado de la piel,es,True
PedidosYa - leche,70.64,261.34,Alimentación,Supermercado,es,True
Pago de recibo de agua en empresa eléctrica,38.54,142.59,Servicios,Agua,es,True
Compra en Netflix: suscripción a revista,45.84,169.6,Entretenimiento,Revistas,es,True
Compra en estación de servicio: combustible,45.01,166.54,Transporte,Combustible,es,True
Bread,11.92,44.1,Alimentación,Supermercado,en,False
productos electrónicos / Mercado Libre,507.86,1879.1,Compras,Electrónica,es,True
Compra en comercio no identificado: pago varios,153.85,569.24,Otros,Otros,es,True
Pago de recibo de gas en proveedor de internet,134.33,497.0,Servicios,Gas domiciliario,es,True
servicio general - pago varios - Yape,141.11,522.1,Otros,Otros,es,True
Líder - leche,40.68,150.49,Alimentación,Supermercado,es,True
Cabify - combustible,85.5,316.36,Transporte,Combustible,es,True
comercio local - calçados,324.39,1200.26,Compras,Calzado,pt,True
estación de servicio - taxi o aplicativo - billetera móvil,81.92,303.11,Transporte,Taxi y aplicativo,es,True
empresa eléctrica - recibo de electricidad,173.81,643.08,Servicios,Electricidad,es,True
Pago de servicio no identificado en pago diverso,68.38,253.03,Otros,Otros,es,True
tienda de regalos - joyería,255.62,945.79,Regalos,Joyería,es,True
jabón / tienda de cuidado personal,54.44,201.39,Cuidado personal,Higiene,es,True
Pago de equipo para ejercicio en gimnasio local - SPEI,365.44,1352.15,Salud y bienestar,Equipamiento deportivo,es,True
centro médico - equipamento de treino,736.36,2724.59,Salud y bienestar,Equipamiento deportivo,pt,True
Pago de curso profesional en Coursera,162.06,599.62,Educación,Cursos,es,True
Compra en pago diverso: compra diversa,64.35,238.07,Otros,Otros,es,True
Compra en Uber: taxi o aplicativo,190.17,703.61,Transporte,Taxi y aplicativo,es,True
aluguel / servicio del hogar,396.08,1465.54,Vivienda,Alquiler,pt,True
consulta dental / farmacia local,407.19,1506.64,Salud y bienestar,Odontología,es,True
comercio no identificado - miscellaneous purchase,110.11,407.4,Otros,Otros,en,True
Pago de alojamiento en hotel en Booking,57.99,214.56,Viajes,Alojamiento,es,True
snacks / Rappi,49.88,184.54,Alimentación,Supermercado,es,True
Streaming Service,11.27,41.7,Entretenimiento,Streaming,en,False
comida rápida / Walmart,122.06,451.6,Alimentación,Comida rápida,es,True
peluquería / tienda de cuidado personal,197.33,730.11,Cuidado personal,Peluquería,es,True
Pago de servicio no identificado en pago diverso,90.51,334.86,Otros,Otros,es,True
tienda departamental - compra de vehículo,1073.58,3972.4,Compras,Vehículo,es,True
Pago de compra diversa en pago diverso,139.77,517.14,Otros,Otros,es,True
Compra en pago diverso: pago varios - Mercado Pago,147.77,546.75,Otros,Otros,es,True
Pago de clase de yoga en centro médico,211.71,783.34,Salud y bienestar,Entrenamiento,es,True
Compra en farmacia local: clase de yoga,56.01,207.21,Salud y bienestar,Entrenamiento,es,True
gimnasio local - entrenador personal,218.11,807.03,Salud y bienestar,Entrenamiento,es,True
alquiler de vivienda / arrendador,826.11,3056.67,Vivienda,Alquiler,es,True
Compra em servicio general: pagamento diversos,134.27,496.78,Otros,Otros,pt,True
alquiler de vivienda / servicio del hogar,669.12,2475.83,Vivienda,Alquiler,es,True
Compra em Uber: transporte público,71.72,265.33,Transporte,Transporte público,pt,True
farmacia local - consulta médica,289.71,1071.95,Salud y bienestar,Consulta médica,es,True
Avon - pasta dental,41.03,151.77,Cuidado personal,Higiene,es,True
Pago de plataforma de aprendizaje en Udemy,66.48,245.98,Educación,Plataformas de aprendizaje,es,True
comida en restaurante / Plaza Vea,197.78,731.79,Alimentación,Restaurante,es,True
Compra em cine local: ingressos para show,277.03,1025.01,Entretenimiento,Eventos,pt,True
Avon - cuidados com a pele,372.59,1378.58,Cuidado personal,Cuidado de la piel,pt,True
Compra en tienda de regalos: joyería,85.31,315.66,Regalos,Joyería,es,True
pago varios / servicio general,189.35,700.6,Otros,Otros,es,True
Pago de transporte público en Cabify,43.59,161.26,Transporte,Transporte público,es,True
Hotel Stay,131.79,487.62,Viajes,Alojamiento,en,False
Pago de alquiler de vivienda en administración residencial,386.76,1431.1,Vivienda,Alquiler,es,True
Pago de clase de yoga en farmacia local,107.44,397.52,Salud y bienestar,Entrenamiento,es,True
Uber - taxi o aplicativo,150.08,555.28,Transporte,Taxi y aplicativo,es,True
Mercado Libre - compra de vehículo,1683.74,6230.05,Compras,Vehículo,es,True
Pagamento de sabonete em Avon,27.58,102.01,Cuidado personal,Higiene,pt,True
Pago de recibo de agua en proveedor de internet,158.51,586.48,Servicios,Agua,es,True
Compra en Uber: taxi o aplicativo,76.69,283.74,Transporte,Taxi y aplicativo,es,True
Jumbo - comida en restaurante,48.12,178.02,Alimentación,Restaurante,es,True
Pago de alquiler de vivienda en servicio del hogar,1407.9,5209.4,Vivienda,Alquiler,es,True
Compra en Jumbo: frutas,94.7,350.4,Alimentación,Supermercado,es,True
Compra en cine local: videojuegos,114.45,423.46,Entretenimiento,Videojuegos,es,True
Uber - reparación vehicular,184.88,684.06,Transporte,Mantenimiento vehicular,es,True
consulta médica / centro médico,375.6,1389.76,Salud y bienestar,Consulta médica,es,True
concert tickets / Spotify,201.12,744.12,Entretenimiento,Eventos,en,True
Compra en Booking: actividad turística,90.85,336.15,Viajes,Turismo,es,True
tienda de cuidado personal - jabón,44.06,162.98,Cuidado personal,Higiene,es,True
Compra en Coto: comida rápida,116.21,429.98,Alimentación,Comida rápida,es,True
Pago de entradas para concierto en cine local,48.74,180.34,Entretenimiento,Eventos,es,True
servicio del hogar - aluguel,502.16,1858.05,Vivienda,Alquiler,pt,True
empresa de servicios - recibo de gas - Nequi,218.04,806.76,Servicios,Gas domiciliario,es,True
transporte público / Cabify,25.25,93.41,Transporte,Transporte público,es,True
Pago de productos electrónicos en comercio local,648.54,2399.67,Compras,Electrónica,es,True
Pago de plataforma de aprendizaje en Udemy,179.53,664.27,Educación,Plataformas de aprendizaje,es,True
Compra en estación de servicio: combustible - SPEI,54.15,200.32,Transporte,Combustible,es,True
Compra en estación de servicio: taxi o aplicativo,29.88,110.52,Transporte,Taxi y aplicativo,es,True
Pagamento de conta de energia em proveedor de internet,288.69,1068.17,Servicios,Electricidad,pt,True
Netflix - materiales para tejido,132.88,491.66,Entretenimiento,Lectura y pasatiempos,es,True
Pago de alquiler de vivienda en servicio del hogar,340.52,1259.95,Vivienda,Alquiler,es,True
servicio del hogar - alquiler de vivienda,488.25,1806.57,Vivienda,Alquiler,es,True
Public Transit,9.46,35.0,Transporte,Transporte público,en,False
materiais de arte / Netflix - PIX,71.26,263.64,Entretenimiento,Lectura y pasatiempos,pt,True
carne / Carrefour,141.47,523.42,Alimentación,Supermercado,es,True
Pago de clases de idiomas en Coursera,333.11,1232.51,Educación,Cursos,es,True
Compra en gimnasio local: membresía de gimnasio,98.22,363.4,Salud y bienestar,Gimnasio,es,True
Mercado Libre - roupas,43.88,162.34,Compras,Ropa,pt,True
Pago de clase de yoga en farmacia local - Mercado Pago,138.86,513.79,Salud y bienestar,Entrenamiento,es,True
servicio general - compra diversa,96.17,355.8,Otros,Otros,es,True
institución educativa - libros,113.96,421.63,Educación,Libros,es,True
Compra en Mercado Libre: ropa,253.29,937.16,Compras,Ropa,es,True
Compra en estación de servicio: transporte público,20.98,77.61,Transporte,Transporte público,es,True
recibo de gas / empresa eléctrica,118.37,437.98,Servicios,Gas domiciliario,es,True
institución educativa - libros - Mercado Pago,59.7,220.89,Educación,Libros,es,True
Toothpaste,17.24,63.79,Cuidado personal,Higiene,en,False
equipo para ejercicio / gimnasio local,524.74,1941.57,Salud y bienestar,Equipamiento deportivo,es,True
pago varios / comercio no identificado,83.83,310.16,Otros,Otros,es,True
Compra en proveedor de internet: recibo de electricidad,355.19,1314.22,Servicios,Electricidad,es,True
Pago de jabón en Avon,23.08,85.39,Cuidado personal,Higiene,es,True
servicio no identificado / servicio general,37.23,137.73,Otros,Otros,es,True
Pagamento de fast food em Carrefour - PIX,143.0,529.1,Alimentación,Comida rápida,pt,True
Compra en hotel local: boleto aéreo,277.78,1027.8,Viajes,Vuelo,es,True
comida en restaurante / Oxxo,301.8,1116.67,Alimentación,Restaurante,es,True
Kids Games,152.96,565.95,Regalos,Juguetes,en,False
Pago de café en Líder,85.1,314.84,Alimentación,Cafetería,es,True
Pago de jabón en Avon,29.08,107.55,Cuidado personal,Higiene,es,True
Pago de boleto aéreo en LATAM - Nequi,200.05,740.2,Viajes,Vuelo,es,True
Pagamento de medicamentos em gimnasio local,121.63,450.05,Salud y bienestar,Farmacia,pt,True
Compra en proveedor de internet: recibo de agua,182.1,673.79,Servicios,Agua,es,True
Compra en tienda de cuidado personal: pasta dental,73.98,273.72,Cuidado personal,Higiene,es,True
Compra en centro médico: equipo para ejercicio - Mercado Pago,467.12,1728.38,Salud y bienestar,Equipamiento deportivo,es,True
Booking - boleto aéreo,545.43,2018.13,Viajes,Vuelo,es,True
Pago de pago varios en comercio no identificado,116.33,430.43,Otros,Otros,es,True
Compra en Cornershop: comida en restaurante,277.9,1028.21,Alimentación,Restaurante,es,True
Compra en Avon: pasta dental,41.38,153.08,Cuidado personal,Higiene,es,True
comercio local - compra de veículo,1605.2,5939.48,Compras,Vehículo,pt,True
tarjeta de regalo / florería local,264.81,979.79,Regalos,Tarjeta de regalo,es,True
Compra en gimnasio local: consulta médica,49.8,184.27,Salud y bienestar,Consulta médica,es,True
Pago de joyería en Miniso,353.82,1309.17,Regalos,Joyería,es,True
Compra em Udemy: materiais escolares,47.59,176.07,Educación,Materiales educativos,pt,True
Pagamento de conta de gás em proveedor de internet,178.7,661.18,Servicios,Gas domiciliario,pt,True
Compra en empresa eléctrica: recibo de electricidad,245.49,908.32,Servicios,Electricidad,es,True
reparación vehicular / Cabify,393.44,1455.77,Transporte,Mantenimiento vehicular,es,True
iFood - leite,36.37,134.55,Alimentación,Supermercado,pt,True
Compra en comercio no identificado: servicio no identificado,158.9,587.93,Otros,Otros,es,True
Pago de medicamentos en centro médico,281.63,1042.04,Salud y bienestar,Farmacia,es,True
iFood - refeição em restaurante,139.85,517.47,Alimentación,Restaurante,pt,True
servicio general - compra diversa,203.06,751.32,Otros,Otros,es,True
comercio no identificado - compra diversa,193.37,715.45,Otros,Otros,pt,True
Compra en Miniso: flores,184.06,681.02,Regalos,Flores,es,True
Compra en Avon: cuidado de la piel,396.11,1465.65,Cuidado personal,Cuidado de la piel,es,True
Spotify - suscripción a revista - Yape,97.82,361.93,Entretenimiento,Revistas,es,True
Pago de materiales para tejido en cine local,76.25,282.13,Entretenimiento,Lectura y pasatiempos,es,True
Compra en Booking: alojamiento en hotel - SPEI,303.73,1123.83,Viajes,Alojamiento,es,True
gimnasio local - medicamentos,258.53,956.59,Salud y bienestar,Farmacia,pt,True
matrícula académica / Udemy,91.07,336.94,Educación,Matrícula,es,True
institución educativa - materiales educativos,283.68,1049.64,Educación,Materiales educativos,es,True
táxi ou aplicativo / Uber,55.46,205.18,Transporte,Taxi y aplicativo,pt,True
Compra en servicio general: compra diversa,161.34,596.93,Otros,Otros,es,True
Booking - alojamiento en hotel,242.04,895.56,Viajes,Alojamiento,es,True
flores / Miniso,135.4,500.97,Regalos,Flores,es,True
Pago de consulta dental en gimnasio local - billetera móvil,162.84,602.5,Salud y bienestar,Odontología,es,True
Compra em tienda departamental: calçados,195.72,724.16,Compras,Calzado,pt,True
Compra en Netflix: cena con amigos,148.86,550.78,Entretenimiento,Eventos,es,True
Pago de materiales de arte en cine local,117.13,433.39,Entretenimiento,Lectura y pasatiempos,es,True
Udemy - curso profesional - Nequi,132.4,489.88,Educación,Cursos,es,True
medicamentos / gimnasio local,88.81,328.59,Salud y bienestar,Farmacia,es,True
Pago de reparación vehicular en estación de servicio,277.58,1027.07,Transporte,Mantenimiento vehicular,es,True
Compra en Spotify: suscripción a revista,66.83,247.26,Entretenimiento,Revistas,es,True
Pago de tarjeta de regalo en Miniso,244.53,904.78,Regalos,Tarjeta de regalo,es,True
Bread,14.6,54.02,Alimentación,Supermercado,en,False
entrenador personal / centro médico,32.32,119.57,Salud y bienestar,Entrenamiento,es,True
Pago de comida rápida en Walmart,74.82,276.83,Alimentación,Comida rápida,es,True
empresa de servicios - recibo de gas,243.57,901.21,Servicios,Gas domiciliario,es,True
Compra en Miniso: flores,320.81,1187.0,Regalos,Flores,es,True
Natura - jabón,60.33,223.22,Cuidado personal,Higiene,es,True
Pago de cena con amigos en cine local,306.21,1133.0,Entretenimiento,Eventos,es,True
Pago de leche en Soriana,34.23,126.62,Alimentación,Supermercado,es,True
Jumbo - comida rápida,49.13,181.77,Alimentación,Comida rápida,es,True
roupas / tienda departamental - PIX,280.55,1038.03,Compras,Ropa,pt,True
Booking - boleto aéreo,283.72,1049.77,Viajes,Vuelo,es,True
Pago de servicio de streaming en Netflix,9.78,36.16,Entretenimiento,Streaming,es,True
Pagamento de conta de gás em empresa eléctrica - PIX,210.57,779.12,Servicios,Gas domiciliario,pt,True
plataforma de aprendizaje / institución educativa - SPEI,216.88,802.46,Educación,Plataformas de aprendizaje,es,True
Pago de alquiler de vivienda en arrendador,513.73,1900.85,Vivienda,Alquiler,es,True
productos electrónicos / comercio local,373.23,1381.01,Compras,Electrónica,es,True
Compra en centro médico: entrenador personal,328.45,1215.32,Salud y bienestar,Entrenamiento,es,True
flores / tienda de regalos,249.79,924.21,Regalos,Flores,es,True
Pago de transporte público en Uber - Yape,39.6,146.5,Transporte,Transporte público,es,True
entradas para concierto / cine local,442.64,1637.78,Entretenimiento,Eventos,es,True
Compra en LATAM: boleto aéreo,457.7,1693.51,Viajes,Vuelo,es,True
Compra en LATAM: actividad turística,49.57,183.4,Viajes,Turismo,es,True
Pago de compra de vehículo en tienda departamental,1184.56,4383.06,Compras,Vehículo,es,True
Pagamento de transporte público em Cabify,49.6,183.5,Transporte,Transporte público,pt,True
carne / Coto,61.11,226.1,Alimentación,Supermercado,es,True
Compra en Éxito: pollo,50.28,186.03,Alimentación,Supermercado,es,True
Pago de pan en PedidosYa,35.94,132.95,Alimentación,Supermercado,es,True
jantar com amigos / Netflix,118.96,440.15,Entretenimiento,Eventos,pt,True
Compra en Netflix: servicio de streaming,92.58,342.55,Entretenimiento,Streaming,es,True
libros / Coursera,91.08,336.97,Educación,Libros,es,True
entrenador personal / farmacia local,410.61,1519.28,Salud y bienestar,Entrenamiento,es,True
frutas / Jumbo,82.38,304.78,Alimentación,Supermercado,es,True
Compra em Netflix: serviço de streaming,57.13,211.37,Entretenimiento,Streaming,pt,True
transporte público / estación de servicio,77.02,284.96,Transporte,Transporte público,es,True
passagem aérea / Booking,661.52,2447.68,Viajes,Vuelo,pt,True
Pago de plataforma de aprendizaje en Udemy,193.78,716.99,Educación,Plataformas de aprendizaje,es,True
Pago de combustible en Cabify,54.87,202.99,Transporte,Combustible,es,True
Compra en proveedor de internet: recibo de electricidad,43.24,159.96,Servicios,Electricidad,es,True
conta de energia / empresa eléctrica,48.87,180.78,Servicios,Electricidad,pt,True
Pagamento de compra de veículo em Mercado Libre,2437.38,9018.58,Compras,Vehículo,pt,True
boleto aéreo / hotel local,460.65,1704.45,Viajes,Vuelo,es,True
Pago de clase de yoga en farmacia local,141.05,521.89,Salud y bienestar,Entrenamiento,es,True
arrendador - mantenimiento del hogar,204.34,756.1,Vivienda,Mantenimiento del hogar,es,True
Compra en Spotify: suscripción a revista,54.65,202.18,Entretenimiento,Revistas,es,True
Walmart - comida en restaurante,170.53,630.93,Alimentación,Restaurante,es,True
alquiler de vivienda / arrendador,588.88,2178.9,Vivienda,Alquiler,es,True
champú / Natura,117.99,436.56,Cuidado personal,Higiene,es,True
PedidosYa - carne,70.21,259.77,Alimentación,Supermercado,es,True
Compra en Spotify: suscripción a revista,13.86,51.26,Entretenimiento,Revistas,es,True
Pago de productos electrónicos en Mercado Libre,537.83,1990.03,Compras,Electrónica,es,True
brinquedos infantis / Miniso,228.47,845.33,Regalos,Juguetes,pt,True
verduras / Carrefour,43.64,161.46,Alimentación,Supermercado,es,True
taxi o aplicativo / Cabify,78.71,291.2,Transporte,Taxi y aplicativo,es,True
Netflix - materiales de arte,164.23,607.65,Entretenimiento,Lectura y pasatiempos,es,True
Cabify - transporte público,23.43,86.68,Transporte,Transporte público,es,True
Pago de equipo para ejercicio en centro médico,189.78,702.19,Salud y bienestar,Equipamiento deportivo,es,True
consulta médica / centro médico,67.12,248.39,Salud y bienestar,Consulta médica,es,True
Pago de pago varios en comercio no identificado,4.33,15.99,Otros,Otros,es,True
Pago de cena con amigos en Netflix,30.81,113.96,Entretenimiento,Eventos,es,True
manutenção do veículo / Uber,307.69,1138.5,Transporte,Mantenimiento vehicular,pt,True
comercio no identificado - miscellaneous purchase - billetera digital,132.06,488.62,Otros,Otros,en,True
Kids Games,273.89,1013.39,Regalos,Juguetes,en,False
Pago de materiales para tejido en Spotify,191.87,709.91,Entretenimiento,Lectura y pasatiempos,es,True
hotel local - alojamiento en hotel,106.12,392.64,Viajes,Alojamiento,es,True
Compra en estación de servicio: combustible,58.95,218.09,Transporte,Combustible,es,True
leche / Rappi,40.69,150.52,Alimentación,Supermercado,es,True
Carrefour - verduras,7.07,26.14,Alimentación,Supermercado,es,True
Pago de entrenador personal en farmacia local,224.43,830.39,Salud y bienestar,Entrenamiento,es,True
Coursera - materiales educativos,25.67,94.95,Educación,Materiales educativos,es,True
Pago de recibo de agua en empresa de servicios,170.14,629.51,Servicios,Agua,es,True
taxi o aplicativo / Cabify,99.97,369.89,Transporte,Taxi y aplicativo,es,True
Spotify - videojuegos,307.28,1136.97,Entretenimiento,Videojuegos,es,True
Pago de comida rápida en Éxito,72.17,267.03,Alimentación,Comida rápida,es,True
suscripción a revista / cine local,60.7,224.55,Entretenimiento,Revistas,es,True
Compra en Avon: pasta dental,24.17,89.41,Cuidado personal,Higiene,es,True
institución educativa - libros,48.36,178.91,Educación,Libros,es,True
Compra en hotel local: alojamiento en hotel,221.92,821.12,Viajes,Alojamiento,es,True
Pago de consulta médica en gimnasio local,220.71,816.63,Salud y bienestar,Consulta médica,es,True
centro médico - consulta dental - SPEI,260.16,962.6,Salud y bienestar,Odontología,es,True
Natura - pasta dental,52.77,195.23,Cuidado personal,Higiene,es,True
estación de servicio - taxi o aplicativo,68.46,253.29,Transporte,Taxi y aplicativo,es,True
Compra en Coursera: clases de idiomas,202.0,747.41,Educación,Cursos,es,True
Natura - pasta dental,48.9,180.93,Cuidado personal,Higiene,es,True
verduras / Oxxo,22.68,83.9,Alimentación,Supermercado,es,True
libros / Udemy - SPEI,50.71,187.6,Educación,Libros,es,True
Booking - boleto aéreo - billetera digital,406.84,1505.39,Viajes,Vuelo,es,True
Natura - pasta dental,101.93,377.12,Cuidado personal,Higiene,es,True
servicio del hogar - alquiler de vivienda,663.27,2454.15,Vivienda,Alquiler,es,True
Pago de alquiler de vivienda en arrendador,670.38,2480.46,Vivienda,Alquiler,es,True
gimnasio local - membresía de gimnasio - Mercado Pago,98.37,363.97,Salud y bienestar,Gimnasio,es,True
calzado / Mercado Libre,107.69,398.44,Compras,Calzado,es,True
Mi Comisariato - comida rápida,89.44,330.9,Alimentación,Comida rápida,es,True
Uber - reparación vehicular,104.64,387.15,Transporte,Mantenimiento vehicular,es,True
Compra en Walmart: pollo,100.55,372.02,Alimentación,Supermercado,es,True
Spotify - materiales de arte,97.47,360.65,Entretenimiento,Lectura y pasatiempos,es,True
Rappi - comida rápida,111.56,412.75,Alimentación,Comida rápida,es,True
